41830 41812 -0.00751207 -0.0590959 -1.58636 0 0.741765 275 -263 8632 0   -0.00751207 -0.0590959 -1.58636	0 0 0	0 0 0	0 0 -9999 0 1 0 0 0 1 0 0  0 0 0
42032 42032 -0.0054131 -0.088987 -1.45791 0 0.15708 274 -259 7994 1   -0.0054131 -0.088987 -1.45791	0 0 0	0 0 0	0 0 -9999 0 1 0 0 0 1 0 0  0 0 0
42234 42232 -0.00336595 -0.11513 -1.50147 0 0.113446 233 -311 8257 1   -0.00336595 -0.11513 -1.50147	0 0 0	0 0 0	0 0 -9999 0 1 0 0 0 1 0 0  0 0 0
42436 42432 -0.00129953 -0.146928 -1.52223 0 -0.279253 300 -376 8378 0   -0.00129953 -0.146928 -1.52223	0 0 0	0 0 0	0 0 -9999 0 1 0 0 0 1 0 0  0 0 0
42638 42632 -0.00094503 -0.164912 -1.61742 0 -0.776672 219 -314 8921 1   -0.00094503 -0.164912 -1.61742	0 0 0	0 0 0	0 0 -9999 0 1 0 0 0 1 0 0  0 0 0
42840 42832 2.32747e-05 -0.161643 -1.9043 0 -1.52716 58 -189 10609 1   2.32747e-05 -0.161643 -1.9043	0 0 0	0 0 0	0 0 -9999 0 1 0 0 0 1 0 0  0 0 0
43042 43032 -0.000374348 -0.162043 -2.17666 0 -1.31772 17 -184 12165 1   -0.000374348 -0.162043 -2.17666	0 0 0	0 0 0	0 0 -9999 0 1 0 0 0 1 0 0  0 0 0
43244 43232 -0.000238423 -0.161923 -2.4601 0 -1.38754 -34 -177 13791 1   -0.000238423 -0.161923 -2.4601	0 0 0	0 0 0	0 0 -9999 0 1 0 0 0 1 0 0  0 0 0
43446 43432 -0.000396892 -0.162005 -2.73182 0 -1.37008 -65 -145 15344 1   -0.000396892 -0.162005 -2.73182	0 0 0	0 0 0	0 0 -9999 0 1 0 0 0 1 0 0  0 0 0
43648 43632 -0.000318458 -0.161952 -3.01023 0 -1.38754 -86 -105 16950 1   -0.000318458 -0.161952 -3.01023	0 0 0	0 0 0	0 0 -9999 0 1 0 0 0 1 0 0  0 0 0
43850 43856 -0.0240043 -0.162268 3.10418 0 -0.305433 -51 -64 17891 1   -0.0240043 -0.162268 3.10418	0 0 0	0 0 0	0 0 -9999 0 1 0 0 0 1 0 0  0 0 0
44052 44052 -0.0948399 -0.15942 3.10451 0 0.0610865 -39 -81 17879 0   -0.0948399 -0.15942 3.10451	0 0 0	0 0 0	0 0 -9999 0 1 0 0 0 1 0 0  0 0 0
44254 44252 -0.157464 -0.157376 3.11137 0 0.0349066 -26 -86 17831 0   -0.157464 -0.157376 3.11137	0 0 0	0 0 0	0 0 -9999 0 1 0 0 0 1 0 0  0 0 0
44456 44453 -0.217677 -0.155537 3.10997 0 -0.0174533 -13 -50 17854 0   -0.217678 -0.155537 3.10997	-0.217678 -0.155537 3.10997	0 0 0	0 0 -9999 0 2 0 0 0 1 0 0  0 0 0
44692 44693 -0.292647 -0.153051 3.10753 0 -0.0174533 0 -64 17865 0   -0.292647 -0.153051 3.10752	-0.296364 -0.146281 3.10655	0 0 0	0 0 0 0 2 0 1 1 1 0 0  0 0 0
44928 44913 -0.358858 -0.151174 3.12056 0 0.0872665 0 -74 17791 0   -0.358858 -0.151174 3.12053	-0.368842 -0.143021 3.11888	0 0 0	0 0 0 0 2 1 1 0 1 0 0  0 0 0
45130 45113 -0.420967 -0.149969 3.12341 0 0.00872665 -12 -65 17773 0   -0.421414 -0.149562 3.12339	-0.430973 -0.145967 3.12368	0 0 0	0 0 0 0 2 1 1 1 1 0 0  0 0 0
45332 45312 -0.483435 -0.148799 3.12202 0 -0.0174533 -9 -58 17781 0   -0.483882 -0.14839 3.12197	-0.490082 -0.151929 3.12012	0 0 0	0 0 0 0 2 1 1 0 1 0 0  0 0 0
45567 45553 -0.558789 -0.147311 3.12219 0 0.00872665 -4 -53 17780 0   -0.560318 -0.145983 3.12214	-0.561366 -0.149895 3.12147	0 0 0	0 0 0 0 2 1 1 0 1 0 0  0 0 0
45769 45753 -0.619557 -0.146199 3.12545 0 0.0261799 4 -47 17764 0   -0.621086 -0.144867 3.12536	-0.616822 -0.151354 3.12206	0 0 0	0 0 0 0 2 1 1 1 1 0 0  0 0 0
45971 45953 -0.679794 -0.145524 3.13633 0 0.0610865 1 -47 17685 0   -0.681323 -0.144186 3.13625	-0.678288 -0.153053 3.13719	0 0 0	0 0 0 0 2 1 1 0 1 0 0  0 0 0
46173 46160 -0.740483 -0.145498 -3.13953 0 0.00872665 6 -36 17656 0   -0.742012 -0.144156 -3.13962	-0.733928 -0.149738 -3.14013	0 0 0	0 0 0 0 2 1 1 0 1 0 0  0 0 0
46375 46373 -0.80878 -0.145483 3.13862 0 -0.0261799 24 -29 17683 0   -0.810309 -0.144135 3.13851	-0.797582 -0.140659 3.13664	0 0 0	0 0 0 0 2 1 1 1 1 0 0  0 0 0
46577 46573 -0.859622 -0.145259 3.13647 0 -0.0174533 23 -32 17702 0   -0.861151 -0.143905 3.13633	-0.850175 -0.144625 3.13416	0 0 0	0 0 0 0 2 1 1 0 1 0 0  0 0 0
46981 46973 -0.922069 -0.100072 3.0931 0 0.0174533 12 -58 17677 0   -0.923532 -0.0986391 3.09292	-0.917598 -0.101111 3.08914	0 0 0	356 0 0 0.0131302 2 1 1 0 1 0 0  0 0 0
47183 47173 -0.94004 -0.0992083 3.09333 0 0.00872665 10 -73 17670 0   -0.941503 -0.0977722 3.09311	-0.94154 -0.10208 3.09032	0 0 0	0 0 0 0 2 1 1 0 1 0 0  0 0 0
47385 47373 -0.961409 -0.098178 3.09331 0 0 13 -54 17675 0   -0.962871 -0.0967371 3.09303	-0.964991 -0.100029 3.08944	0 0 0	0 0 0 0 2 1 1 0 1 0 0  0 0 0
47587 47573 -0.981704 -0.0971879 3.09278 0 0 12 -62 17676 0   -0.983166 -0.0957414 3.09247	-0.995344 -0.10103 3.0899	0 0 0	0 0 0 0 2 1 1 0 1 0 0  0 0 0
47823 47813 -1.00611 -0.0959929 3.09226 0 0 16 -54 17678 0   -1.00757 -0.0945389 3.09191	-1.0146 -0.0982343 3.08898	0 0 0	0 0 0 0 2 1 1 0 1 0 0  0 0 0
48025 48013 -1.02667 -0.0949745 3.09124 0 0 18 -55 17678 0   -1.02813 -0.0935132 3.09085	-1.03338 -0.0912029 3.08817	0 0 0	0 0 0 0 2 1 1 0 1 0 0  0 0 0
48227 48213 -1.04759 -0.0939235 3.09139 0 0.0174533 21 -43 17679 0   -1.04905 -0.0924541 3.09093	-1.04763 -0.0947008 3.0864	0 0 0	0 0 0 0 2 1 1 0 1 0 0  0 0 0
48429 48435 -1.07012 -0.0927782 3.09051 0 0 21 -43 17686 0   -1.07158 -0.0912987 3.08999	-1.07066 -0.0929504 3.08529	0 0 0	0 0 0 0 2 1 1 0 1 0 0  0 0 0
48631 48638 -1.09086 -0.0917183 3.09051 0 0 20 -34 17688 0   -1.09232 -0.090228 3.08994	-1.09009 -0.0921366 3.08646	0 0 0	0 0 0 0 2 1 1 0 1 0 0  0 0 0
48833 48833 -1.11151 -0.0906619 3.09051 0 -0.00872665 14 -35 17688 0   -1.11297 -0.0891598 3.0899	-1.11509 -0.0959283 3.08689	0 0 0	0 0 0 0 2 1 1 0 1 0 0  0 0 0
49069 49053 -1.13457 -0.089483 3.08984 0 0 6 -23 17688 0   -1.13603 -0.0879667 3.08921	-1.14263 -0.0983242 3.08791	0 0 0	0 0 0 0 2 1 1 1 1 0 0  0 0 0
49271 49253 -1.15522 -0.0884312 3.09086 0 0 7 -28 17686 0   -1.15668 -0.0869017 3.09019	-1.16216 -0.0990883 3.08768	0 0 0	0 0 0 0 2 1 1 0 1 0 0  0 0 0
49473 49472 -1.17802 -0.0872731 3.09136 0 -0.0174533 6 -23 17690 0   -1.17948 -0.0857282 3.09064	-1.1793 -0.0990205 3.08808	0 0 0	0 0 0 0 2 1 1 0 1 0 0  0 0 0
49675 49673 -1.19822 -0.0862424 3.09051 0 -0.00872665 10 -26 17690 0   -1.20186 -0.0862388 3.08966	-1.19562 -0.0973328 3.0811	0 0 0	0 0 0 0 2 1 1 1 1 0 0  0 0 0
49910 49893 -1.22138 -0.0850656 3.09069 0 -0.00872665 20 -22 17686 0   -1.22502 -0.0850423 3.0897	-1.21796 -0.0853215 3.08102	0 0 0	0 0 0 0 2 1 1 0 1 0 0  0 0 0
